"","Sex","Con","COVID","Age","NivEco","Educ","GenRecod","Ideology1","Ideology2","IdePol","ExtMod","Homphily","Bias","skill","Global","EC","CA","DPol","EcoCount","Citizen","SC0"
"136","Male",1,1,3,3,4,"Male","Centro-Izquierda","Izquierda","1","0",13,10,18,12,23,11,17,28,81,6
"137","Male",1,1,2,4,4,"Male","E. Izquierda","Izquierda","1","1",24,24,19,14,21,9,21,51,84,6
"138","Female",0,1,2,3,4,"Female","Ninguno","Ninguno","0","Ninguno",16,10,16,10,17,6,8,28,57,4
"139","Female",0,0,2,1,4,"Female","E. Izquierda","Izquierda","1","1",22,18,16,14,12,2,3,42,47,4
"140","Female",0,1,1,3,3,"Female","Ninguno","Ninguno","0","Ninguno",22,18,21,14,24,11,3,46,73,5
"141","Male",0,0,2,4,5,"Male","Centro-Izquierda","Izquierda","1","1",20,15,21,14,26,8,14,43,83,2
"142","Male",0,1,3,4,5,"Male","Centro-Derecha","Derecha","1","1",30,12,21,14,22,11,21,52,89,4
"143","Male",0,1,4,4,4,"Male","E. Derecha","Derecha","1","1",29,3,21,12,25,7,12,40,77,6
"144","Female",0,1,3,3,4,"Female","Centro-Izquierda","Izquierda","1","1",23,19,21,14,27,14,17,43,93,1
"145","Female",1,1,1,4,4,"Female","Centro","Centro","1","0",22,16,20,12,18,7,10,39,67,6
"146","Male",0,1,1,2,4,"Male","Ninguno","Ninguno","0","Ninguno",24,16,17,10,16,7,8,46,58,4
"147","Female",0,1,2,5,5,"Female","Centro-Derecha","Derecha","1","0",19,9,21,12,13,8,4,29,58,2
"148","Female",1,0,3,4,4,"Female","Ninguno","Ninguno","0","Ninguno",29,20,19,14,19,2,3,56,57,3
"149","Male",0,1,2,5,4,"Male","Centro-Derecha","Derecha","1","1",20,15,17,12,19,4,3,38,55,4
"150","Male",1,0,3,5,4,"Male","Centro-Izquierda","Izquierda","1","0",23,15,21,14,24,10,10,45,79,5
"151","Male",1,1,4,4,5,"Male","Ninguno","Ninguno","0","Ninguno",9,8,12,10,15,8,13,21,58,4
"152","Male",1,1,4,4,5,"Male","Centro","Centro","1","0",21,11,17,12,21,8,6,37,64,5
"153","Male",1,0,1,4,4,"Male","Ninguno","Ninguno","0","Ninguno",9,12,18,12,19,3,6,22,58,4
"154","Male",0,0,3,3,4,"Male","Ninguno","Ninguno","0","Ninguno",30,27,21,14,28,11,9,59,83,2
"155","Female",0,1,1,3,4,"Female","Ninguno","Ninguno","0","Ninguno",26,16,21,14,20,3,3,48,61,5
"156","Male",0,1,4,4,4,"Male","E. Derecha","Derecha","1","1",22,21,21,14,28,14,16,53,93,3
"157","Female",1,1,3,3,4,"Female","Ninguno","Ninguno","0","Ninguno",16,15,15,11,17,4,6,36,53,6
"158","Female",0,1,1,2,3,"Female","Ninguno","Ninguno","0","Ninguno",25,10,21,14,19,2,3,36,59,3
"159","Female",0,0,2,4,4,"Female","Centro","Centro","1","0",25,18,21,14,25,10,9,50,79,5
"160","Female",1,1,3,2,4,"Female","E. Izquierda","Izquierda","1","1",30,30,21,14,28,14,9,61,86,4
"161","Female",1,1,1,5,3,"Female","Ninguno","Ninguno","0","Ninguno",25,23,19,13,14,5,5,53,56,4
"162","Female",0,1,2,3,4,"Female","Ninguno","Ninguno","0","Ninguno",13,5,21,10,5,2,3,19,41,6
"163","Female",0,0,1,2,3,"Female","E. Izquierda","Izquierda","1","1",28,17,21,14,24,8,8,48,75,4
"164","Female",0,1,4,5,4,"Female","Centro-Derecha","Derecha","1","1",12,16,21,13,20,9,12,36,75,5
"165","Male",0,0,2,3,4,"Male","Ninguno","Ninguno","0","Ninguno",17,17,18,12,19,7,3,40,59,3
"166","Female",0,1,4,3,5,"Female","Ninguno","Ninguno","0","Ninguno",17,12,19,12,24,9,14,30,78,3
"167","Male",1,1,3,3,4,"Male","Ninguno","Ninguno","0","Ninguno",11,4,21,11,4,8,7,23,51,5
"168","Male",0,1,2,4,4,"Male","E. Izquierda","Izquierda","1","1",13,10,21,14,28,8,3,24,74,5
"169","Female",1,1,2,5,4,"Female","Ninguno","Ninguno","0","Ninguno",22,9,19,11,10,7,13,39,60,4
"170","Female",0,1,3,4,4,"Female","Centro-Derecha","Derecha","1","1",29,13,21,14,24,9,3,47,71,3
"171","Male",0,1,4,4,5,"Male","Centro-Izquierda","Izquierda","1","0",15,12,19,4,12,9,20,29,64,4
"172","Male",0,1,3,4,5,"Male","Centro-Derecha","Derecha","1","1",30,19,21,10,15,2,8,57,56,4
"173","Female",0,1,3,4,3,"Female","Centro-Izquierda","Izquierda","1","1",19,13,20,13,23,12,11,36,79,4
"174","Male",1,0,2,3,4,"Male","Centro-Izquierda","Izquierda","1","1",21,17,21,12,23,9,16,39,81,6
